Id,F1Score
0,0.18181818181818182
1,0.0
2,0.3333333333333333
3,0.16666666666666669
4,0.0
5,0.4
6,0.0
7,0.14285714285714285
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.42857142857142855
14,0.6666666666666666
15,0.0
16,0.0
17,0.4
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.5
25,0.4
26,0.5
27,0.14285714285714285
28,0.0
29,0.4
30,0.0
31,0.0
32,0.4
33,0.13333333333333336
34,0.17391304347826086
35,0.30769230769230765
36,0.15384615384615383
37,0.0
38,0.0
39,0.7692307692307693
40,0.15384615384615385
41,0.16666666666666666
42,0.4
43,0.0
44,0.0
45,0.0
46,0.4
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.2
53,0.28571428571428575
54,0.28571428571428575
55,0.15384615384615385
56,0.0
57,0.7142857142857143
58,0.0
59,0.4
60,0.0
61,0.0
62,0.5714285714285715
63,0.0
64,0.28571428571428575
65,0.0
66,0.0
67,0.0
68,0.33333333333333337
69,0.0
70,0.0
71,0.4
72,0.2
73,0.23529411764705882
74,0.14285714285714288
75,0.2222222222222222
76,0.28571428571428575
77,0.13333333333333333
78,0.2857142857142857
79,0.2857142857142857
80,0.0
81,0.25000000000000006
82,0.0
83,0.2857142857142857
84,0.5
85,0.0
86,0.2857142857142857
87,0.0
88,0.33333333333333337
89,0.0
90,0.2666666666666667
91,0.0
92,0.0
93,0.26666666666666666
94,0.14285714285714288
95,0.47058823529411764
96,0.14285714285714288
97,0.0
98,0.0
99,0.5
100,0.25
101,0.0
102,0.0
103,0.0
104,0.0
105,0.39999999999999997
106,0.28571428571428575
107,0.0
108,0.36363636363636365
109,0.0
110,0.28571428571428575
111,0.0
112,0.19999999999999998
113,0.18181818181818182
114,0.25
115,0.33333333333333337
116,0.0
117,0.22222222222222224
118,0.16666666666666669
119,0.4
120,0.2222222222222222
121,0.3333333333333333
122,0.0
123,0.0
124,0.0
125,0.25
126,0.0
127,0.3529411764705882
128,0.15384615384615385
129,0.33333333333333337
130,0.16666666666666669
131,0.0
132,0.14285714285714288
133,0.5714285714285714
134,0.5333333333333333
135,0.0
136,0.19999999999999998
137,0.07407407407407407
138,1.0
139,0.16666666666666669
140,0.125
141,0.2222222222222222
142,0.0
143,0.3333333333333333
144,0.0
145,0.2105263157894737
146,0.5714285714285715
147,0.16666666666666669
148,0.16666666666666669
149,0.18181818181818182
150,0.5454545454545454
151,0.0
152,0.1904761904761905
153,0.9090909090909091
154,0.5454545454545454
155,0.0
156,0.22222222222222224
157,0.0
158,0.2222222222222222
159,0.7000000000000001
160,0.4
161,0.6153846153846154
162,0.0
163,0.33333333333333337
164,0.0
165,0.1111111111111111
166,0.0
167,0.0
168,0.18181818181818182
169,0.0
170,0.0
171,0.4
172,0.33333333333333337
173,0.0
174,0.19999999999999998
175,0.0
176,0.0
177,0.19999999999999998
178,0.0
179,0.25
180,0.16666666666666666
181,0.33333333333333337
182,0.10526315789473685
183,0.0
184,0.0
185,0.14285714285714288
186,0.0
187,0.11764705882352941
188,0.0
189,0.16666666666666669
190,0.3636363636363636
191,0.14285714285714288
192,0.0
193,0.0
194,0.0
195,0.16666666666666669
196,0.3636363636363636
197,0.2222222222222222
198,0.6666666666666666
199,0.3636363636363636
200,0.16666666666666669
201,0.0
202,0.4
203,0.0
204,0.23529411764705882
205,0.23529411764705882
206,0.5454545454545454
207,0.14285714285714285
208,0.0
209,0.18181818181818182
210,0.0
211,0.5
212,0.3333333333333333
213,0.25
214,0.16666666666666669
215,0.0
216,0.0
217,0.15384615384615385
218,0.4
219,0.28571428571428575
220,0.22222222222222224
221,0.2222222222222222
222,0.14285714285714288
223,0.16666666666666669
224,0.16666666666666669
225,0.18181818181818182
